"week","mean","median","sd","skewness","kurtosis"
"2015-01",1940.38023593018,14,8198.34836035935,8.13992781961391,95.3813448260111
"2015-02",1743.96418290407,11,7255.93799033697,8.90211853856495,122.993622696684
"2015-03",2010.94317361935,10,8848.54756949564,8.32967815621439,102.194135603739
"2015-04",1686.91903201272,13,7741.5984276093,9.46240332848519,129.122842757301
"2015-05",1908.92462564504,20,8023.0186288117,8.27948877625896,98.7337329751708
"2015-06",1627.33816074197,14,7607.28941511208,9.90516551415298,141.397868539853
"2015-07",1740.61186559338,17,8379.81798911985,9.40433078018027,120.720256828522
"2015-08",1700.88503683406,18,8009.63131862724,9.4593297860522,122.386191012512
"2015-09",3778.90250385999,19,15637.9126983849,5.72386295936775,38.0791511136462
"2015-10",3998.87837988765,25,15175.953693696,5.60368929481123,37.3378305566729
"2015-11",3623.88482090653,26,13761.6790469467,6.22643334766784,47.4352038654085
"2015-12",2559.86112088312,17,11713.5130904496,7.59211178939591,69.1616161841514
"2015-13",2419.10051276569,16,11525.8842137844,8.2362874005466,80.9639950550879
"2015-14",2365.59616860101,16,11009.7135551554,7.91931832002568,77.5015882968195
"2015-15",2441.21067630886,13,12164.9476180482,7.7525053056396,70.3992814717996
"2015-16",2411.61693995134,15,11820.1190707571,7.6054295278943,68.7459595605981
"2015-17",2473.07098287864,17,11857.0698530033,7.84050469127418,74.2911029892513
"2015-18",2606.23900070282,16,12204.1000510949,7.32636652808703,63.2124969605049
"2015-19",2281.76923226801,18,10835.4357213597,7.71469708781899,71.6539643235351
"2015-20",2332.51704569294,16,11112.0618064228,7.66868570456111,71.9212516016811
"2015-21",2348.15629390405,19,10992.4024677338,7.70244663399368,74.3534766351834
"2015-22",2208.09558025193,18,9680.48783781386,7.971444473679,85.0748375900506
"2015-23",2182.73839223044,18,10197.3055909952,7.62945929667427,72.9710787318618
"2015-24",1953.68422095383,21,9121.9908704915,8.62625910693085,95.1420667446388
"2015-25",2214.03438900357,16,10382.5520770403,8.04439964877183,84.0439941539645
"2015-26",2194.70888983096,17,11010.3432813822,8.66939683358201,93.8864616238901
"2015-27",2266.31866802613,19,10573.4122601583,7.47918367887892,69.1411057903129
"2015-28",2223.00406974916,34,10603.0192559075,7.89088756951153,79.8611781346607
"2015-29",2005.76023968429,413,9348.86340373385,9.19818884366687,101.160398010086
"2015-30",2719.29900390642,22,11692.8022324043,7.15054715013677,65.5088475584711
