"week","mean","median","sd","skewness","kurtosis"
"2015-01",1940.38157804114,14,8198.34581159936,8.13992953969479,95.3813949440544
"2015-02",1758.09481577604,11,7273.45024297003,8.8421769521291,121.705939850528
"2015-03",2010.88476832506,10,8848.37825873915,8.32982241911804,102.19781549579
"2015-04",1686.91017605842,13,7741.57834865891,9.46242896692905,129.123524691397
"2015-05",1910.01892426925,20,8023.78578145673,8.27665476167771,98.6851722408702
"2015-06",1627.66231829667,14,7607.98216972116,9.90308772494816,141.346606491915
"2015-07",1740.60418459476,17,8379.79874785375,9.40435336327236,120.720823579664
"2015-08",1700.86887190901,18,8009.59419967883,9.45937561069369,122.387350258374
"2015-09",3778.90250385999,19,15637.9126983849,5.72386295936775,38.0791511136462
"2015-10",3998.87788804915,25,15175.9501041855,5.60369070492233,37.3378488633542
"2015-11",3623.8830846308,26,13761.6724359554,6.22643658771139,47.4352516237661
"2015-12",2559.86889899335,17,11713.5114753421,7.5921006798956,69.1615000163497
"2015-13",2419.10466407072,16,11525.8788287662,8.23628520656364,80.9640041104716
"2015-14",2365.83229861077,16,11009.763396696,7.9190040278901,77.4974452732781
"2015-15",2441.59419536806,13,12164.7011689646,7.7516309668352,70.3898183865363
"2015-16",2411.6816378923,15,11820.4668625722,7.60499827920688,68.7380155226788
"2015-17",2472.82757709785,17,11856.5059767865,7.84090491973008,74.2984974499892
"2015-18",2606.23900070282,16,12204.1000510949,7.32636652808703,63.2124969605049
"2015-19",2281.76821871298,18,10835.4331096008,7.71469908958601,71.6540004984975
"2015-20",2332.85902747658,16,11113.5127570539,7.66796768672313,71.9046246169719
"2015-21",2348.15205137427,19,10992.3915115329,7.70245486428923,74.3536310616427
"2015-22",2208.53150383652,18,9682.7761092102,7.97073850086565,85.0474571624728
"2015-23",2182.7373977597,18,10197.3033576401,7.62946109762651,72.971112159602
"2015-24",1953.67743784767,21,9121.96173393414,8.62628353929352,95.1426394142066
"2015-25",2214.01832969629,16,10382.5155124834,8.04442993845155,84.0446086068965
"2015-26",2194.69068648859,17,11010.2980883931,8.66943453680812,93.8872596090833
"2015-27",2266.23494494133,19,10573.1209473109,7.47940445604305,69.1450708791985
"2015-28",2223.00406974916,34,10603.0192559075,7.89088756951153,79.8611781346607
"2015-29",2005.76023968429,413,9348.86340373385,9.19818884366687,101.160398010086
"2015-30",2719.29900390642,22,11692.8022324043,7.15054715013677,65.5088475584711
"2015-31",2483.99408575496,65,10007.3125814428,8.38074292241788,86.2982447053176
"2015-32",2578.61109739388,30,10738.2563759183,7.7362513080001,74.0601028499592
"2015-33",2927.94469997082,23,11582.4371849621,7.54731435490591,72.6079205055126
"2015-34",2458.4513066245,17,11931.0978754094,7.66079928201626,71.7192079215694
"2015-35",2502.51411147648,18,12963.7391256605,8.48234887533818,85.121611258926
"2015-36",2352.16788979791,19,11740.4644834972,8.30064888799561,82.7698624021587
"2015-37",3166.69474647018,844,9898.3199620375,9.06365165380076,103.945532915902
"2015-38",2804.82598198137,240,11074.128563181,9.56034355278103,109.486506775476
"2015-39",2433.21367657154,24,11082.3233115756,8.68166537403912,95.2431879450448
"2015-40",2209.74116508311,23,8993.58824974069,8.06708247929623,93.4299320967877
"2015-41",4818.50933180871,228,10647.2931481579,6.23147522844835,60.2451433353592
"2015-42",4812.83315061309,63,14309.8074686754,4.79708550826085,30.4994159604596
"2015-43",3282.67887599347,33,10988.0795033768,5.86427373590135,50.1690590448011
"2015-44",3664.05459459258,39,12190.5222842835,6.0968353618934,56.9055667343302
